country_iso2,name,code,city,region,latitude,longitude,port_type,status,traffic_level,annual_capacity,teu_capacity,trade_volume,importance_score,weather_risk,political_risk,logistic_risk,risk_score,risk_level,main_industries,shipping_routes,ai_recommendation,description
AL,Durres,DUR51,Durrës,"Durrës County",41.32,19.45,"Offshore Terminal",Active,Medium,35094240,7370078,1341447,0.65,79,5,35,39.67,Low,Machinery,4,"Optimize supply chain through Durres to reduce delays.","The port of Durres is located in Durrës, Durrës County. It plays a significant role in the region's trade."
AL,Shengjin,SHE72,Shengjin,Albania,41.82,19.6,"Dry Port",Active,Low,43235374,4035504,13750568,0.67,37,44,47,42.67,Medium,Automotive,20,"Optimize supply chain through Shengjin to reduce delays.","The port of Shengjin is located in Shengjin, Albania. It plays a significant role in the region's trade."
AL,Vlores,VLO78,Vlore,"Vlore County",40.47,19.5,"Offshore Terminal",Active,Low,2701586,7633212,11923965,0.74,46,1,90,45.67,Medium,"Automotive, Electronics, Energy",17,"Optimize supply chain through Vlores to reduce delays.","The port of Vlores is located in Vlore, Vlore County. It plays a significant role in the region's trade."
DZ,Skikda,SKI86,Skikda,"Skikda Province",36.88,6.92,"River Port",Active,Low,48513515,9134244,1338736,0.61,26,62,18,35.33,Low,Automotive,12,"Optimize supply chain through Skikda to reduce delays.","The port of Skikda is located in Skikda, Skikda Province. It plays a significant role in the region's trade."
DZ,Djen-djen,DJE15,Djen-djen,Algeria,36.82,5.88,"Dry Port",Active,High,45689778,8773394,11432391,0.65,4,80,2,28.67,Low,"Automotive, Machinery, Chemicals",8,"Optimize supply chain through Djen-djen to reduce delays.","The port of Djen-djen is located in Djen-djen, Algeria. It plays a significant role in the region's trade."
DZ,Dellys,DEL18,Dellys,Algeria,36.92,3.92,Seaport,Active,High,27952364,8530313,14091559,0.67,55,74,49,59.33,Medium,"Energy, Chemicals",7,"Optimize supply chain through Dellys to reduce delays.","The port of Dellys is located in Dellys, Algeria. It plays a significant role in the region's trade."
DZ,Alger,ALG40,Algiers,"Algiers Province",36.77,3.07,"Offshore Terminal",Active,Medium,26467352,8361015,5347511,0.87,20,86,18,41.33,Medium,"Energy, Chemicals, Electronics",10,"Optimize supply chain through Alger to reduce delays.","The port of Alger is located in Algiers, Algiers Province. It plays a significant role in the region's trade."
DZ,Arzew,ARZ82,Arzew,Oran,35.85,-0.3,"River Port",Active,Low,37048074,2143826,7904102,0.74,23,46,28,32.33,Low,"Agriculture, Electronics",4,"Optimize supply chain through Arzew to reduce delays.","The port of Arzew is located in Arzew, Oran. It plays a significant role in the region's trade."
DZ,Jijel,JIJ12,Jijel,Algeria,36.83,5.78,"Offshore Terminal",Active,High,48415328,2593781,10616665,0.79,24,33,75,44,Medium,"Automotive, Chemicals",2,"Optimize supply chain through Jijel to reduce delays.","The port of Jijel is located in Jijel, Algeria. It plays a significant role in the region's trade."
DZ,"Beni Saf",BEN10,"Beni Saf",Algeria,35.3,-1.38,Seaport,Active,High,2697451,9279200,13501626,0.71,83,46,49,59.33,Medium,Electronics,20,"Optimize supply chain through Beni Saf to reduce delays.","The port of Beni Saf is located in Beni Saf, Algeria. It plays a significant role in the region's trade."
DZ,"Mers El Kebir",MER61,Mers-el-Kebir,Oran,35.73,-0.7,"Offshore Terminal",Active,Low,44465285,1604670,15439960,0.72,2,14,6,7.33,Low,"Automotive, Energy",2,"Optimize supply chain through Mers El Kebir to reduce delays.","The port of Mers El Kebir is located in Mers-el-Kebir, Oran. It plays a significant role in the region's trade."
AS,"Pago Pago Harbor",PAG55,"Pago Pago","American Samoa",-14.28,-170.67,"Dry Port",Active,Low,26883704,9601278,14041815,0.91,71,42,95,69.33,Medium,Automotive,13,"Optimize supply chain through Pago Pago Harbor to reduce delays.","The port of Pago Pago Harbor is located in Pago Pago, American Samoa. It plays a significant role in the region's trade."
AO,"Kizomba B Terminal",KIZ74,Kizomba,Angola,-6.35,11.15,"Dry Port",Active,Medium,37414513,5952840,9724659,0.98,39,62,93,64.67,Medium,"Machinery, Textiles",14,"Optimize supply chain through Kizomba B Terminal to reduce delays.","The port of Kizomba B Terminal is located in Kizomba, Angola. It plays a significant role in the region's trade."
AO,"Girassol Terminal",GIR28,Girassol,Luanda,-7.65,11.68,"River Port",Active,High,32760155,8194835,12945571,0.96,28,44,2,24.67,Low,"Electronics, Agriculture",18,"Optimize supply chain through Girassol Terminal to reduce delays.","The port of Girassol Terminal is located in Girassol, Luanda. It plays a significant role in the region's trade."
AO,"Psvm Terminal",PSV90,Luanda,"Luanda Province",-6.25,10.73,"Dry Port",Active,Low,17497884,3690940,5285785,0.76,87,93,2,60.67,Medium,Electronics,12,"Optimize supply chain through Psvm Terminal to reduce delays.","The port of Psvm Terminal is located in Luanda, Luanda Province. It plays a significant role in the region's trade."
AO,"Futila Terminal",FUT36,"Futila Terminal",Angola,-5.45,12.18,"Dry Port",Active,Low,10605078,8064784,19280591,0.71,83,8,66,52.33,Medium,"Chemicals, Machinery",13,"Optimize supply chain through Futila Terminal to reduce delays.","The port of Futila Terminal is located in Futila Terminal, Angola. It plays a significant role in the region's trade."
AO,"Kuito Oil Field",KUI25,"Kuito Marine Terminal",Benguela,-5.47,11.5,"River Port",Active,Medium,12090726,4685507,8459049,0.86,39,29,94,54,Medium,"Energy, Chemicals",2,"Optimize supply chain through Kuito Oil Field to reduce delays.","The port of Kuito Oil Field is located in Kuito Marine Terminal, Benguela. It plays a significant role in the region's trade."
AO,Luanda,LUA58,Luanda,"Luanda Province",-8.8,13.25,Seaport,Active,Low,42212975,241372,3343277,0.68,81,54,68,67.67,Medium,Agriculture,10,"Optimize supply chain through Luanda to reduce delays.","The port of Luanda is located in Luanda, Luanda Province. It plays a significant role in the region's trade."
AO,"Takula Terminal",TAK99,"Takula Terminal",Angola,-5.22,11.78,"River Port",Active,Low,24151444,4964024,5457913,0.68,73,55,19,49,Medium,"Chemicals, Energy, Electronics",4,"Optimize supply chain through Takula Terminal to reduce delays.","The port of Takula Terminal is located in Takula Terminal, Angola. It plays a significant role in the region's trade."
AO,Cabinda,CAB75,Cabinda,"Cabinda Province",-5.53,12.2,"Dry Port",Active,High,37914578,6616424,15750085,0.92,88,96,25,69.67,Medium,"Textiles, Automotive, Energy",9,"Optimize supply chain through Cabinda to reduce delays.","The port of Cabinda is located in Cabinda, Cabinda Province. It plays a significant role in the region's trade."
AO,"Kizomba A Terminal",KIZ39,"Kizomba A FPSO",Angola,-6.32,11.05,"Offshore Terminal",Active,High,17507029,4447637,13282717,0.88,8,19,67,31.33,Low,"Agriculture, Automotive",4,"Optimize supply chain through Kizomba A Terminal to reduce delays.","The port of Kizomba A Terminal is located in Kizomba A FPSO, Angola. It plays a significant role in the region's trade."
AO,"Palanca Terminal",PAL26,Palanca,Luanda,-6.95,12.4,"River Port",Active,High,4609790,249486,6162493,0.99,68,90,73,77,High,"Energy, Electronics",10,"Optimize supply chain through Palanca Terminal to reduce delays.","The port of Palanca Terminal is located in Palanca, Luanda. It plays a significant role in the region's trade."
AO,"Porto Amboim",POR70,"Porto Amboim",Angola,-10.73,13.75,"Offshore Terminal",Active,High,11672214,7060219,19858307,0.99,61,56,82,66.33,Medium,"Chemicals, Automotive",9,"Optimize supply chain through Porto Amboim to reduce delays.","The port of Porto Amboim is located in Porto Amboim, Angola. It plays a significant role in the region's trade."
AO,Sumbe,SUM64,Sumbe,Angola,-11.2,13.83,"Dry Port",Active,Medium,3736619,3100803,6384412,0.75,68,10,74,50.67,Medium,"Chemicals, Automotive, Textiles",10,"Optimize supply chain through Sumbe to reduce delays.","The port of Sumbe is located in Sumbe, Angola. It plays a significant role in the region's trade."
